30.10  2.755  0.09  20.95  9.28
29.60  3.229  0.17  25.75  8.18
29.40  3.014  0.17  18.51  9.42
29.00  3.249  0.16  25.35  8.66
28.60  2.954  0.17  20.94  9.14
27.90  2.899  0.16  27.50  8.81
27.60  2.990  0.20  27.15  9.23
24.60  2.792  0.11  26.17  8.72
24.50  3.081  0.21  28.96  9.06
23.20  2.870  0.15  25.57  9.16
22.80  2.930  0.18  22.61 10.05
22.40  2.982  0.17  17.33  8.71
21.10  2.947  0.19  27.09  8.55
19.40  2.805  0.12  22.20  9.44
18.70  2.971  0.15  31.76  6.20
17.80  2.995  0.15  31.56  6.59
16.20  3.316  0.15  26.89  7.06
16.20  2.821  0.13  27.57  8.21
16.00  3.062  0.18  34.23  4.80
15.90  2.830  0.11  32.76  5.52
15.80  3.182  0.17  26.54  8.52
15.20  3.124  0.21  22.96  9.57
15.00  2.984  0.16  17.77  7.78
14.20  3.253  0.15  29.75  7.31
13.70  3.030  0.16  20.23  9.05
13.70  2.973  0.17  34.06  4.87
13.50  3.222  0.18  31.07  6.14
12.60  2.872  0.13  21.86  9.01
12.40  3.028  0.16  28.16  9.50
12.30  2.754  0.09  23.47  9.70
11.30  2.846  0.16  26.53  9.17
10.50  2.852  0.16  32.17  6.73
10.30  3.076  0.17  18.46 10.16
10.20  2.829  0.13  28.33  9.17
9.70  3.028  0.23  25.72  9.44
9.50  3.292  0.15  30.62  7.06
9.40  2.796  0.13  32.48  6.32
9.30  2.833  0.17  19.08  9.68
9.00  3.201  0.18  35.22  5.54
8.80  2.884  0.15  29.34  7.73
8.70  2.766  0.11  26.06  8.98
8.70  3.016  0.20  31.82  7.13
8.70  2.808  0.09  29.73  6.61
7.90  3.153  0.18  34.16  6.45
7.70  2.879  0.15  24.20  9.68
7.50  2.896  0.13  22.55 10.00
7.50  3.224  0.16  36.28  3.07
7.40  2.945  0.13  32.01  5.27
7.20  2.983  0.19  28.66  9.15
7.20  3.223  0.20  21.32  8.61
7.00  2.941  0.22  24.73  9.55
7.00  3.330  0.11  19.17 10.83
7.00  3.243  0.17  28.97  8.59
6.80  2.939  0.16  20.35  9.24
6.70  2.785  0.13  22.99 10.14
6.60  3.017  0.13  30.87  6.72
6.60  2.865  0.14  28.93  7.02
6.40  2.868  0.17  25.80  9.60
6.30  3.021  0.20  29.09  8.95
6.30  3.083  0.22  32.26  7.38
6.10  2.969  0.18  20.08  9.47
5.80  2.842  0.14  25.73  9.06
5.70  3.004  0.15  29.81  8.18
5.60  2.885  0.21  23.37  9.53
5.40  2.864  0.11  34.53  4.58
5.20  2.774  0.08  28.31  7.50
